City,Country,Region,Segment,Ship Mode,State,Days to Ship,Product Name,Discount,Actual Discount,Sales,Profit,Quantity,Category,Sub-Category,Year
Lohne,Germany,Central,Corporate,Economy,Lower Saxony,7,"Binney & Smith Canvas, Blue",0.0,0.0,257,49,5,Office Supplies,Art,2013
Lohne,Germany,Central,Corporate,Economy,Lower Saxony,7,"Ibico Index Tab, Clear",0.0,0.0,17,6,2,Office Supplies,Binders,2013
Lohne,Germany,Central,Corporate,Economy,Lower Saxony,7,"Epson Printer, White",0.0,0.0,522,21,2,Technology,Machines,2013
Leicester,United Kingdom,North,Home Office,Economy,England,5,"Hon Chairmat, Adjustable",0.0,0.0,290,70,5,Furniture,Chairs,2013
Sheffield,United Kingdom,North,Consumer,Priority,England,3,"Green Bar Note Cards, Multicolor",0.5,17.0,34,-6,2,Office Supplies,Paper,2013
Dordrecht,Netherlands,Central,Consumer,Economy,South Holland,6,"Wilson Jones Hole Reinforcements, Durable",0.5,4.5,9,-3,3,Office Supplies,Binders,2013
Dordrecht,Netherlands,Central,Consumer,Economy,South Holland,6,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",0.5,11.0,22,-12,4,Office Supplies,Labels,2013
Dordrecht,Netherlands,Central,Consumer,Economy,South Holland,6,"Green Bar Cards & Envelopes, Multicolor",0.5,25.0,50,-38,2,Office Supplies,Paper,2013
Dordrecht,Netherlands,Central,Consumer,Economy,South Holland,6,"Smead Lockers, Blue",0.5,99.0,198,-131,2,Office Supplies,Storage,2013
Gothenburg,Sweden,North,Consumer,Economy,Västra Götaland,7,"Sanford Pens, Fluorescent",0.5,15.5,31,-14,5,Office Supplies,Art,2013
Vienna,Austria,Central,Home Office,Economy,Vienna,5,"Xerox Message Books, Premium",0.0,0.0,224,103,11,Office Supplies,Paper,2013
Vienna,Austria,Central,Home Office,Economy,Vienna,5,"StarTech Card Printer, White",0.0,0.0,486,78,3,Technology,Machines,2013
Vienna,Austria,Central,Home Office,Economy,Vienna,5,"Apple Headset, with Caller ID",0.0,0.0,440,66,6,Technology,Phones,2013
Langen,Germany,Central,Corporate,Economy Plus,Lower Saxony,5,"Cuisinart Microwave, White",0.1,24.9,249,3,1,Office Supplies,Appliances,2013
Langen,Germany,Central,Corporate,Economy Plus,Lower Saxony,5,"Harbour Creations Removable Labels, 5000 Label Set",0.0,0.0,21,7,2,Office Supplies,Labels,2013
Langen,Germany,Central,Corporate,Economy Plus,Lower Saxony,5,"Green Bar Computer Printout Paper, 8.5 x 11",0.0,0.0,170,25,5,Office Supplies,Paper,2013
Langen,Germany,Central,Corporate,Economy Plus,Lower Saxony,5,"Elite Letter Opener, Easy Grip",0.0,0.0,55,2,2,Office Supplies,Supplies,2013
Langen,Germany,Central,Corporate,Economy Plus,Lower Saxony,5,"Hewlett Copy Machine, Laser",0.0,0.0,527,11,2,Technology,Copiers,2013
Copenhagen,Denmark,North,Home Office,Economy,Hovedstaden,6,"Hon Shipping Labels, Laser Printer Compatible",0.5,8.5,17,-8,3,Office Supplies,Labels,2013
Gandia,Spain,South,Corporate,Priority,Valenciana,3,"Stockwell Thumb Tacks, Bulk Pack",0.0,0.0,108,33,8,Office Supplies,Fasteners,2013
Esbjerg,Denmark,North,Consumer,Economy Plus,South Denmark,5,"Acco Binding Machine, Economy",0.5,13.0,26,-11,1,Office Supplies,Binders,2013
Sesto San Giovanni,Italy,South,Corporate,Priority,Lombardy,2,"GlobeWeis Business Envelopes, Recycled",0.0,0.0,48,21,3,Office Supplies,Envelopes,2013
Trapani,Italy,South,Home Office,Priority,Sicily,1,"Wilson Jones Binding Machine, Clear",0.0,0.0,145,44,3,Office Supplies,Binders,2013
Trapani,Italy,South,Home Office,Priority,Sicily,1,"Fellowes Folders, Blue",0.4,19.2,48,8,3,Office Supplies,Storage,2013
Villiers-sur-Marne,France,Central,Consumer,Economy,Ile-de-France,5,"Boston Pencil Sharpener, Water Color",0.0,0.0,58,8,2,Office Supplies,Art,2013
Bielefeld,Germany,Central,Consumer,Economy,North Rhine-Westphalia,5,"Memorex Router, Programmable",0.0,0.0,495,233,2,Technology,Accessories,2013
Leuven,Belgium,Central,Home Office,Economy,Flemish Brabant,4,"Avery Index Tab, Clear",0.0,0.0,12,3,2,Office Supplies,Binders,2013
Leuven,Belgium,Central,Home Office,Economy,Flemish Brabant,4,"Tenex File Cart, Blue",0.0,0.0,666,120,5,Office Supplies,Storage,2013
Prato,Italy,South,Home Office,Economy,Tuscany,4,"Bush Classic Bookcase, Traditional",0.0,0.0,825,338,2,Furniture,Bookcases,2013
Prato,Italy,South,Home Office,Economy,Tuscany,4,"Boston Canvas, Easy-Erase",0.0,0.0,54,12,1,Office Supplies,Art,2013
Prato,Italy,South,Home Office,Economy,Tuscany,4,"Rogers Lockers, Single Width",0.4,355.6,889,59,7,Office Supplies,Storage,2013
Gela,Italy,South,Home Office,Economy Plus,Sicily,2,"Boston Markers, Fluorescent",0.0,0.0,28,4,1,Office Supplies,Art,2013
Bologna,Italy,South,Consumer,Priority,Emilia-Romagna,2,"Harbour Creations Swivel Stool, Set of Two",0.6000000000000001,43.8,73,-57,1,Furniture,Chairs,2013
Bologna,Italy,South,Consumer,Priority,Emilia-Romagna,2,"Office Star Bag Chairs, Set of Two",0.6000000000000001,41.4,69,-95,3,Furniture,Chairs,2013
Bologna,Italy,South,Consumer,Priority,Emilia-Romagna,2,"Advantus Staples, 12 Pack",0.0,0.0,41,3,4,Office Supplies,Fasteners,2013
Bologna,Italy,South,Consumer,Priority,Emilia-Romagna,2,"Harbour Creations Color Coded Labels, Adjustable",0.0,0.0,54,8,5,Office Supplies,Labels,2013
Bologna,Italy,South,Consumer,Priority,Emilia-Romagna,2,"SanDisk Memo Slips, Multicolor",0.0,0.0,55,3,3,Office Supplies,Paper,2013
Menden,Germany,Central,Corporate,Economy,North Rhine-Westphalia,7,"Advantus Light Bulb, Duo Pack",0.0,0.0,20,4,1,Furniture,Furnishings,2013
Menden,Germany,Central,Corporate,Economy,North Rhine-Westphalia,7,"Cardinal Binder, Clear",0.0,0.0,133,4,10,Office Supplies,Binders,2013
Maisons-Alfort,France,Central,Consumer,Economy,Ile-de-France,5,"Stanley Markers, Water Color",0.0,0.0,178,59,7,Office Supplies,Art,2013
Madrid,Spain,South,Consumer,Economy,Madrid,4,"Smead Removable Labels, 5000 Label Set",0.0,0.0,32,10,3,Office Supplies,Labels,2013
Oslo,Norway,North,Consumer,Economy,Oslo,4,"Acco Binder Covers, Clear",0.0,0.0,13,5,1,Office Supplies,Binders,2013
Oslo,Norway,North,Consumer,Economy,Oslo,4,"Avery Binder, Economy",0.0,0.0,52,20,4,Office Supplies,Binders,2013
Oslo,Norway,North,Consumer,Economy,Oslo,4,"Memorex Flash Drive, Bluetooth",0.0,0.0,88,18,3,Technology,Accessories,2013
Lisbon,Portugal,South,Corporate,Economy,Lisboa,4,"Hewlett Wireless Fax, Laser",0.5,285.0,570,-217,3,Technology,Copiers,2013
Draguignan,France,Central,Consumer,Economy,Provence-Alpes-Côte d'Azur,6,"Rogers Folders, Single Width",0.1,2.8,28,-1,1,Office Supplies,Storage,2013
Halle,Germany,Central,Consumer,Economy,North Rhine-Westphalia,6,"Acco Hole Reinforcements, Recycled",0.0,0.0,21,11,3,Office Supplies,Binders,2013
Halle,Germany,Central,Consumer,Economy,North Rhine-Westphalia,6,"Avery Hole Reinforcements, Durable",0.0,0.0,12,4,2,Office Supplies,Binders,2013
Parma,Italy,South,Consumer,Economy,Emilia-Romagna,4,"Sanford Pencil Sharpener, Water Color",0.0,0.0,78,20,3,Office Supplies,Art,2013
Dresden,Germany,Central,Corporate,Priority,Saxony,3,"Xerox Note Cards, Premium",0.5,6.5,13,-8,1,Office Supplies,Paper,2013
Dresden,Germany,Central,Corporate,Priority,Saxony,3,"HP Fax and Copier, Digital",0.5,43.0,86,0,1,Technology,Copiers,2013
Dresden,Germany,Central,Corporate,Priority,Saxony,3,"Motorola Signal Booster, Cordless",0.5,292.0,584,-59,8,Technology,Phones,2013
Seville,Spain,South,Corporate,Economy Plus,Andalusía,4,"Acme Box Cutter, High Speed",0.0,0.0,38,18,1,Office Supplies,Supplies,2013
Seville,Spain,South,Corporate,Economy Plus,Andalusía,4,"Cisco Smart Phone, Full Size",0.1,58.7,587,104,1,Technology,Phones,2013
Torrevieja,Spain,South,Corporate,Priority,Valenciana,2,"Boston Highlighters, Water Color",0.0,0.0,44,8,2,Office Supplies,Art,2013
Barcelona,Spain,South,Consumer,Economy Plus,Catalonia,5,"Ikea Library with Doors, Pine",0.0,0.0,729,241,2,Furniture,Bookcases,2013
Barcelona,Spain,South,Consumer,Economy Plus,Catalonia,5,"SAFCO Steel Folding Chair, Black",0.2,53.2,266,23,4,Furniture,Chairs,2013
Barcelona,Spain,South,Consumer,Economy Plus,Catalonia,5,"BIC Canvas, Water Color",0.0,0.0,57,1,1,Office Supplies,Art,2013
Barcelona,Spain,South,Consumer,Economy Plus,Catalonia,5,"Sanford Pencil Sharpener, Water Color",0.0,0.0,116,13,4,Office Supplies,Art,2013
London,United Kingdom,North,Consumer,Priority,England,2,"Cisco Headset, Full Size",0.1,16.2,162,43,2,Technology,Phones,2013
Reims,France,Central,Consumer,Economy,Alsace-Champagne-Ardenne-Lorraine,4,"SanDisk Memo Slips, Multicolor",0.5,23.0,46,-41,5,Office Supplies,Paper,2013
Reims,France,Central,Consumer,Economy,Alsace-Champagne-Ardenne-Lorraine,4,"Logitech Numeric Keypad, Erganomic",0.5,22.0,44,-8,2,Technology,Accessories,2013
Reims,France,Central,Consumer,Economy,Alsace-Champagne-Ardenne-Lorraine,4,"Hewlett Copy Machine, Color",0.65,357.5,550,-236,6,Technology,Copiers,2013
Reims,France,Central,Consumer,Economy,Alsace-Champagne-Ardenne-Lorraine,4,"Konica Phone, White",0.65,57.85,89,-76,3,Technology,Machines,2013
Rosenheim,Germany,Central,Corporate,Immediate,Bavaria,0,"Fellowes File Cart, Industrial",0.1,24.8,248,8,2,Office Supplies,Storage,2013
Rosenheim,Germany,Central,Corporate,Immediate,Bavaria,0,"Brother Wireless Fax, Laser",0.0,0.0,379,140,1,Technology,Copiers,2013
Uppsala,Sweden,North,Home Office,Economy Plus,Uppsala,2,"Boston Pencil Sharpener, Easy-Erase",0.5,45.5,91,-62,6,Office Supplies,Art,2013
Nice,France,Central,Consumer,Economy,Provence-Alpes-Côte d'Azur,4,"Tenex Shelving, Industrial",0.1,14.9,149,15,3,Office Supplies,Storage,2013
Boulogne-sur-Mer,France,Central,Consumer,Economy,Nord-Pas-de-Calais-Picardie,4,"Stanley Pencil Sharpener, Water Color",0.0,0.0,112,4,4,Office Supplies,Art,2013
Boulogne-sur-Mer,France,Central,Consumer,Economy,Nord-Pas-de-Calais-Picardie,4,"Avery Binder Covers, Durable",0.0,0.0,50,6,4,Office Supplies,Binders,2013
Boulogne-sur-Mer,France,Central,Consumer,Economy,Nord-Pas-de-Calais-Picardie,4,"Konica Receipt Printer, Wireless",0.15,31.2,208,12,2,Technology,Machines,2013
La Crau,France,Central,Corporate,Economy,Provence-Alpes-Côte d'Azur,5,"Novimex Legal Exhibit Labels, Laser Printer Compatible",0.0,0.0,31,11,3,Office Supplies,Labels,2013
Siena,Italy,South,Consumer,Economy,Tuscany,5,"Stockwell Clamps, 12 Pack",0.0,0.0,110,22,6,Office Supplies,Fasteners,2013
Barcelona,Spain,South,Home Office,Economy,Catalonia,5,"Ikea Corner Shelving, Metal",0.0,0.0,368,15,3,Furniture,Bookcases,2013
Barcelona,Spain,South,Home Office,Economy,Catalonia,5,"Binney & Smith Sketch Pad, Blue",0.0,0.0,93,24,2,Office Supplies,Art,2013
Barcelona,Spain,South,Home Office,Economy,Catalonia,5,"Cardinal 3-Hole Punch, Clear",0.0,0.0,85,18,3,Office Supplies,Binders,2013
Barcelona,Spain,South,Home Office,Economy,Catalonia,5,"Stockwell Rubber Bands, 12 Pack",0.0,0.0,48,5,3,Office Supplies,Fasteners,2013
Barcelona,Spain,South,Home Office,Economy,Catalonia,5,"Smead Folders, Wire Frame",0.1,6.0,60,-3,4,Office Supplies,Storage,2013
Frankfurt,Germany,Central,Consumer,Immediate,Hesse,0,"Binney & Smith Pencil Sharpener, Fluorescent",0.0,0.0,133,5,5,Office Supplies,Art,2013
Frankfurt,Germany,Central,Consumer,Immediate,Hesse,0,"Cardinal Binder Covers, Clear",0.0,0.0,80,21,7,Office Supplies,Binders,2013
Almelo,Netherlands,Central,Corporate,Economy,Overijssel,4,"Advantus Frame, Duo Pack",0.2,53.4,267,90,3,Furniture,Furnishings,2013
Almelo,Netherlands,Central,Corporate,Economy,Overijssel,4,"GlobeWeis Manila Envelope, Set of 50",0.5,27.5,55,-19,4,Office Supplies,Envelopes,2013
Almelo,Netherlands,Central,Corporate,Economy,Overijssel,4,"Rogers Trays, Wire Frame",0.5,45.5,91,-2,3,Office Supplies,Storage,2013
Basel,Switzerland,Central,Corporate,Economy,Basel-Stadt,4,"Sauder Library with Doors, Mobile",0.0,0.0,780,117,2,Furniture,Bookcases,2013
Basel,Switzerland,Central,Corporate,Economy,Basel-Stadt,4,"BIC Highlighters, Blue",0.0,0.0,19,8,1,Office Supplies,Art,2013
Coslada,Spain,South,Corporate,Economy,Madrid,5,"Dania Classic Bookcase, Traditional",0.0,0.0,822,353,2,Furniture,Bookcases,2013
Coslada,Spain,South,Corporate,Economy,Madrid,5,"Boston Highlighters, Easy-Erase",0.0,0.0,19,4,1,Office Supplies,Art,2013
Marseille,France,Central,Consumer,Economy,Provence-Alpes-Côte d'Azur,4,"Kraft Clasp Envelope, with clear poly window",0.0,0.0,50,24,4,Office Supplies,Envelopes,2013
Marseille,France,Central,Consumer,Economy,Provence-Alpes-Côte d'Azur,4,"Panasonic Receipt Printer, Wireless",0.15,30.9,206,27,2,Technology,Machines,2013
Hanover,Germany,Central,Home Office,Immediate,Lower Saxony,0,"Avery Binder Covers, Clear",0.5,13.0,26,-14,5,Office Supplies,Binders,2013
Hanover,Germany,Central,Home Office,Immediate,Lower Saxony,0,"Tenex File Cart, Industrial",0.6000000000000001,129.0,215,-220,4,Office Supplies,Storage,2013
Elda,Spain,South,Consumer,Economy Plus,Valenciana,5,"BIC Markers, Blue",0.0,0.0,26,1,1,Office Supplies,Art,2013
Elda,Spain,South,Consumer,Economy Plus,Valenciana,5,"Eldon Box, Blue",0.1,0.9,9,2,1,Office Supplies,Storage,2013
Hardenberg,Netherlands,Central,Consumer,Economy,Overijssel,5,"Sauder Classic Bookcase, Pine",0.5,437.5,875,-577,4,Furniture,Bookcases,2013
Hardenberg,Netherlands,Central,Consumer,Economy,Overijssel,5,"Barricks Coffee Table, Fully Assembled",0.7000000000000001,191.1,273,-500,3,Furniture,Tables,2013
Seville,Spain,South,Corporate,Economy,Andalusía,6,"Hon Executive Leather Armchair, Adjustable",0.2,145.6,728,-82,2,Furniture,Chairs,2013
Seville,Spain,South,Corporate,Economy,Andalusía,6,"Rubbermaid Door Stop, Erganomic",0.0,0.0,127,19,3,Furniture,Furnishings,2013
Muret,France,Central,Corporate,Economy Plus,Languedoc-Roussillon-Midi-Pyrénées,3,"SAFCO Executive Leather Armchair, Black",0.1,454.4,4544,1868,11,Furniture,Chairs,2013
Muret,France,Central,Corporate,Economy Plus,Languedoc-Roussillon-Midi-Pyrénées,3,"Hoover Microwave, Black",0.1,27.7,277,0,1,Office Supplies,Appliances,2013
Muret,France,Central,Corporate,Economy Plus,Languedoc-Roussillon-Midi-Pyrénées,3,"Stanley Highlighters, Easy-Erase",0.0,0.0,90,32,6,Office Supplies,Art,2013
Muret,France,Central,Corporate,Economy Plus,Languedoc-Roussillon-Midi-Pyrénées,3,"Nokia Audio Dock, VoIP",0.15,42.6,284,43,2,Technology,Phones,2013
Beaune,France,Central,Corporate,Economy,Bourgogne-Franche-Comté,6,"OIC Thumb Tacks, Assorted Sizes",0.0,0.0,35,14,3,Office Supplies,Fasteners,2013
Paris,France,Central,Consumer,Economy,Ile-de-France,5,"Avery Hole Reinforcements, Durable",0.0,0.0,24,8,4,Office Supplies,Binders,2013
Paris,France,Central,Consumer,Economy,Ile-de-France,5,"Panasonic Calculator, Durable",0.15,19.35,129,-2,3,Technology,Machines,2013
Castrop-Rauxel,Germany,Central,Consumer,Economy Plus,North Rhine-Westphalia,4,"Advantus Thumb Tacks, Assorted Sizes",0.0,0.0,55,8,5,Office Supplies,Fasteners,2013
Castrop-Rauxel,Germany,Central,Consumer,Economy Plus,North Rhine-Westphalia,4,"OIC Staples, Assorted Sizes",0.0,0.0,62,23,7,Office Supplies,Fasteners,2013
Milan,Italy,South,Consumer,Economy,Lombardy,5,"Barricks Round Table, with Bottom Storage",0.5,501.5,1003,-943,4,Furniture,Tables,2013
Milan,Italy,South,Consumer,Economy,Lombardy,5,"Binney & Smith Canvas, Water Color",0.0,0.0,164,78,3,Office Supplies,Art,2013
Milan,Italy,South,Consumer,Economy,Lombardy,5,"Smead Trays, Blue",0.4,11.6,29,-13,1,Office Supplies,Storage,2013
Milan,Italy,South,Consumer,Economy,Lombardy,5,"Okidata Calculator, Red",0.4,12.0,30,-5,1,Technology,Machines,2013
Zurich,Switzerland,Central,Consumer,Economy,Zürich,4,"Stockwell Thumb Tacks, Assorted Sizes",0.0,0.0,21,6,2,Office Supplies,Fasteners,2013
Zurich,Switzerland,Central,Consumer,Economy,Zürich,4,"Smead Box, Single Width",0.0,0.0,32,8,3,Office Supplies,Storage,2013
Grosseto,Italy,South,Consumer,Economy,Tuscany,4,"Advantus Clock, Black",0.0,0.0,103,30,2,Furniture,Furnishings,2013
Grosseto,Italy,South,Consumer,Economy,Tuscany,4,"Acco Binder Covers, Recycled",0.0,0.0,41,12,3,Office Supplies,Binders,2013
Grosseto,Italy,South,Consumer,Economy,Tuscany,4,"Avery Binder Covers, Durable",0.0,0.0,63,8,5,Office Supplies,Binders,2013
Grosseto,Italy,South,Consumer,Economy,Tuscany,4,"Avery Binder Covers, Recycled",0.0,0.0,23,8,2,Office Supplies,Binders,2013
Grosseto,Italy,South,Consumer,Economy,Tuscany,4,"Konica Printer, Red",0.4,190.8,477,40,3,Technology,Machines,2013
Paris,France,Central,Consumer,Economy Plus,Ile-de-France,2,"Wilson Jones Hole Reinforcements, Recycled",0.0,0.0,10,2,2,Office Supplies,Binders,2013
Dublin,Ireland,North,Consumer,Economy,Dublin,5,"Apple Speaker Phone, with Caller ID",0.5,92.5,185,-93,3,Technology,Phones,2013
Rome,Italy,South,Corporate,Economy,Lazio,5,"Harbour Creations Bag Chairs, Black",0.6000000000000001,28.2,47,-60,2,Furniture,Chairs,2013
Namur,Belgium,Central,Corporate,Economy,Namur,4,"Bush Classic Bookcase, Mobile",0.0,0.0,2076,104,5,Furniture,Bookcases,2013
Namur,Belgium,Central,Corporate,Economy,Namur,4,"Acco Binding Machine, Recycled",0.0,0.0,309,77,6,Office Supplies,Binders,2013
Namur,Belgium,Central,Corporate,Economy,Namur,4,"Brother Copy Machine, High-Speed",0.0,0.0,525,58,2,Technology,Copiers,2013
Zaanstad,Netherlands,Central,Consumer,Economy,North Holland,6,"Advantus Frame, Black",0.2,106.6,533,0,6,Furniture,Furnishings,2013
Zaanstad,Netherlands,Central,Consumer,Economy,North Holland,6,"Motorola Headset, with Caller ID",0.5,60.0,120,-41,3,Technology,Phones,2013
Bochum,Germany,Central,Home Office,Economy Plus,North Rhine-Westphalia,3,"Binney & Smith Pens, Easy-Erase",0.0,0.0,147,0,12,Office Supplies,Art,2013
Bochum,Germany,Central,Home Office,Economy Plus,North Rhine-Westphalia,3,"Fellowes Shelving, Wire Frame",0.1,10.2,102,35,2,Office Supplies,Storage,2013
Bochum,Germany,Central,Home Office,Economy Plus,North Rhine-Westphalia,3,"Epson Calculator, Durable",0.0,0.0,47,13,1,Technology,Machines,2013
Colmar,France,Central,Consumer,Economy,Alsace-Champagne-Ardenne-Lorraine,7,"BIC Markers, Easy-Erase",0.0,0.0,107,30,4,Office Supplies,Art,2013
Farnborough,United Kingdom,North,Corporate,Economy,England,5,"Safco Classic Bookcase, Traditional",0.0,0.0,1314,342,3,Furniture,Bookcases,2013
Farnborough,United Kingdom,North,Corporate,Economy,England,5,"Office Star Rocking Chair, Red",0.0,0.0,705,289,5,Furniture,Chairs,2013
Farnborough,United Kingdom,North,Corporate,Economy,England,5,"BIC Sketch Pad, Blue",0.0,0.0,195,35,4,Office Supplies,Art,2013
Farnborough,United Kingdom,North,Corporate,Economy,England,5,"Sanford Pens, Fluorescent",0.0,0.0,37,10,3,Office Supplies,Art,2013
Berlin,Germany,Central,Corporate,Economy,Berlin,4,"Belkin Keyboard, USB",0.1,15.1,151,-5,2,Technology,Accessories,2013
Rome,Italy,South,Consumer,Economy,Lazio,4,"Ibico Index Tab, Clear",0.0,0.0,18,3,2,Office Supplies,Binders,2013
Berlin,Germany,Central,Consumer,Economy,Berlin,4,"Hamilton Beach Toaster, Black",0.2,72.8,364,45,8,Office Supplies,Appliances,2013
Berlin,Germany,Central,Consumer,Economy,Berlin,4,"Fellowes Folders, Blue",0.2,12.6,63,24,3,Office Supplies,Storage,2013
Berlin,Germany,Central,Consumer,Economy,Berlin,4,"Smead Shelving, Single Width",0.2,23.6,118,37,3,Office Supplies,Storage,2013
Rimini,Italy,South,Consumer,Economy,Emilia-Romagna,6,"OIC Clamps, 12 Pack",0.0,0.0,58,29,3,Office Supplies,Fasteners,2013
Paris,France,Central,Consumer,Priority,Ile-de-France,1,"BIC Canvas, Easy-Erase",0.0,0.0,108,37,2,Office Supplies,Art,2013
Baden-Baden,Germany,Central,Consumer,Economy,Baden-Württemberg,5,"Advantus Clamps, Assorted Sizes",0.0,0.0,117,15,7,Office Supplies,Fasteners,2013
Madrid,Spain,South,Consumer,Priority,Madrid,3,"BIC Pencil Sharpener, Water Color",0.0,0.0,97,37,3,Office Supplies,Art,2013
Madrid,Spain,South,Consumer,Priority,Madrid,3,"Kraft Interoffice Envelope, Set of 50",0.0,0.0,94,21,2,Office Supplies,Envelopes,2013
Madrid,Spain,South,Consumer,Priority,Madrid,3,"Tenex Folders, Blue",0.1,10.4,104,27,5,Office Supplies,Storage,2013
Madrid,Spain,South,Consumer,Priority,Madrid,3,"Sharp Ink, Color",0.0,0.0,126,59,1,Technology,Copiers,2013
Pforzheim,Germany,Central,Home Office,Immediate,Baden-Württemberg,0,"Motorola Audio Dock, with Caller ID",0.0,0.0,520,203,3,Technology,Phones,2013
Sheffield,United Kingdom,North,Consumer,Economy,England,4,"Harbour Creations Chairmat, Adjustable",0.5,37.0,74,-18,2,Furniture,Chairs,2013
Coventry,United Kingdom,North,Corporate,Economy,England,7,"OIC Thumb Tacks, Bulk Pack",0.0,0.0,28,10,2,Office Supplies,Fasteners,2013
Berlin,Germany,Central,Corporate,Priority,Berlin,3,"Cardinal 3-Hole Punch, Clear",0.1,22.9,229,28,9,Office Supplies,Binders,2013
Pessac,France,Central,Consumer,Economy,Aquitaine-Limousin-Poitou-Charentes,4,"Binney & Smith Markers, Blue",0.0,0.0,72,14,3,Office Supplies,Art,2013
Helsinki,Finland,North,Consumer,Economy,Uusimaa,7,"Sanford Sketch Pad, Water Color",0.0,0.0,195,91,4,Office Supplies,Art,2013
Basel,Switzerland,Central,Corporate,Economy,Basel-Stadt,5,"Cameo Mailers, with clear poly window",0.0,0.0,167,7,4,Office Supplies,Envelopes,2013
Basel,Switzerland,Central,Corporate,Economy,Basel-Stadt,5,"Fellowes File Cart, Wire Frame",0.0,0.0,273,57,2,Office Supplies,Storage,2013
Berlin,Germany,Central,Corporate,Economy,Berlin,4,"Memorex Router, Erganomic",0.1,22.0,220,49,1,Technology,Accessories,2013
Bonn,Germany,Central,Consumer,Priority,North Rhine-Westphalia,2,"Sanford Pens, Water Color",0.0,0.0,43,20,3,Office Supplies,Art,2013
Bonn,Germany,Central,Consumer,Priority,North Rhine-Westphalia,2,"Fiskars Box Cutter, Serrated",0.0,0.0,193,62,6,Office Supplies,Supplies,2013
Leipzig,Germany,Central,Consumer,Economy Plus,Saxony,3,"Hoover Stove, Red",0.1,307.0,3070,1364,6,Office Supplies,Appliances,2013
Leipzig,Germany,Central,Consumer,Economy Plus,Saxony,3,"Eldon File Cart, Single Width",0.1,23.0,230,20,2,Office Supplies,Storage,2013
